,Case,Sice Based (s),Index Based (s),Find Method Based (s),Slice/Index ratio,Find/Index ratio
0,Early exit (dup at start),1.1571999493753538e-05,5.169000360183418e-06,6.207999831531197e-06,2.238730641787557,1.2010058810115678
1,Mid exit (dup mid),6.2729995988775045e-06,4.7480025386903435e-06,2.615997800603509e-06,1.321187077673258,0.5509680711596856
2,Worst case (all unique),13.807544027000404,37.01826417600023,0.023600399999850197,0.37299274653596926,0.0006375339450721966
